,,,,Website,,
,,,SOCIAL WORK,,,
,D BOCHUM01,RUHR-UNIVERSITAET BOCHUM,PSYCHOLOGY,https://international.ruhr-uni-bochum.de/de/erasmus-studium-europa,international.ruhr-uni-bochum.de,https://www.google.com/s2/favicons?domain=international.ruhr-uni-bochum.de&sz=256
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,D BRANDEN01,TECHNISCHE HOCHSCHULE BRANDENBURG,INDUSTRIAL ENGINEERING,https://zis.th-brandenburg.de/en/auslandsaufenthalte/erasmus/,zis.th-brandenburg.de,https://www.google.com/s2/favicons?domain=zis.th-brandenburg.de&sz=256
,,,MECHANICAL ENGINEERING,,,
,,,COMPUTER ENGINEERING ,,,
,D CLAUSTH01,TECHNISCHE UNIVERSITAT CLAUSTHAL,SOFTWARE ENGINEERING,https://www.wiwi.tu-clausthal.de/en/study/study-abroad/erasmus,wiwi.tu-clausthal.de,https://www.google.com/s2/favicons?domain=wiwi.tu-clausthal.de&sz=256
,D DORTMUN02,FACHHOCHSCHULE DORTMUND,PSYCHOLOGICAL COUNSELING and GUIDANCE,https://www.fh-dortmund.de/international/foerderprogramme/erasmus/index.php,fh-dortmund.de,https://www.google.com/s2/favicons?domain=fh-dortmund.de&sz=256
,,,SOCIAL WORK,,,
,D DUSSELD03,HOCHSCHULE DUSSELDORF,BUSINESS MANAGEMENT,https://www.hs-duesseldorf.de/erasmusplus-studium,hs-duesseldorf.de,https://www.google.com/s2/favicons?domain=hs-duesseldorf.de&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,D ERLANGE01,FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN-NUERNBERG,ELEMENTARY EDUCATION ,https://www.fau.eu/education/international/going-abroad/studying-abroad/the-erasmus-programme/,fau.eu,https://www.google.com/s2/favicons?domain=fau.eu&sz=256
,D FRANKFU08,STIFTUNG EUROPA UNIVERSITAT VIADRINA FRANKFURT,,https://www.europa-uni.de/en/studium/index.html,europa-uni.de,https://www.google.com/s2/favicons?domain=europa-uni.de&sz=256
,,,,,,
,,,,,,
,D ESSEN04,UNIVERSITAET DUISBURG-ESSEN,TRANSLATION and INTERPRETING (English),https://www.uni-due.de/international/outgoings_erasmus.php,uni-due.de,https://www.google.com/s2/favicons?domain=uni-due.de&sz=256
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,TURKISH LANGUAGE and LITERATURE,,,
,D FRANKFU04,FRANKFURT UNIVERSITY OF APPLIED SCIENCES,ARCHITECTURE,https://www.frankfurt-university.de/en/studies/international-office/outgoings/study-abroad/erasmus-program-information/,frankfurt-university.de,https://www.google.com/s2/favicons?domain=frankfurt-university.de&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,SOCIAL WORK,,,
,D FREIBUR01,ALBERT-LUDWIGS-UNIVERSITAET FREIBURG,TURKISH LANGUAGE and LITERATURE,https://www.international.uni-freiburg.de/en/erasmus/studies-outgoing,international.uni-freiburg.de,https://www.google.com/s2/favicons?domain=international.uni-freiburg.de&sz=256
,,,HISTORY,,,
,D GIESSEN02,TECHNISCHE HOCHSCHULE MITTELHESSEN,MECHANICAL ENGINEERING,https://www.thm.de/site/international/outgoing-wege-ins-ausland/auslandsstudium-outgoing/programme-und-foerdermoeglichkeiten-auslandsstudium-outgoing/erasmus-plus-studium-auslandsstudium-outgoing.html,thm.de,https://www.google.com/s2/favicons?domain=thm.de&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,HEALTH CARE MANAGEMENT,,,
,D GOTTING02,GESELLSCHAFT FUR PRAXISBEZOGENE FORSCHUNG UND WISSENSCHAFTLICHE LEHREGGMBH,BUSINESS MANAGEMENT,https://www.pfh.de/en/consultation/erasmus-programme,pfh.de,https://www.google.com/s2/favicons?domain=pfh.de&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,D HAMBURG01,UNIVERSITAET HAMBURG,SPECIAL EDUCATION,https://www.uni-hamburg.de/en/internationales/kontakt.html,uni-hamburg.de,https://www.google.com/s2/favicons?domain=uni-hamburg.de&sz=256
,D ISERLOH02,UNIVERSİTY OF EUROPE FOR APPLIED SCIENCES,BUSINESS MANAGEMENT,https://www.ue-germany.com/students/student-departments/international/ways-abroad,ue-germany.com,https://www.google.com/s2/favicons?domain=ue-germany.com&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,DIGITAL GAME DESIGN,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER ENGINEERING,,,
,,,RADIO TELEVISION PROGRAMMING,,,
,D KIEL03,FACHHOCHSCHULE KIEL,PSYCHOLOGY,https://www.fh-kiel.de/international/ins-ausland/auslandsaufenthalt/studium-im-ausland/studium-in-europa/,fh-kiel.de,https://www.google.com/s2/favicons?domain=fh-kiel.de&sz=256
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,D KOLN12,CBS COLOGNE BUSINESS SCHOOL GMBH,VISUAL COMMUNICATION DESIGN,https://www.cbs.de/en/international/erasmusplus,cbs.de,https://www.google.com/s2/favicons?domain=cbs.de&sz=256
,,,GRAPHIC DESIGN,,,
,,,BUSINESS MANAGEMENT,,,
,,,ECONOMICS AND FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,NEW MEDIA and COMMUNICATION,,,
,D KREFELD01,HOCHSCHULE NIEDERRHEIN,INDUSTRIAL ENGINEERING,https://www.hs-niederrhein.de/textil-bekleidungstechnik/studierende/praxis-/auslandssemester/auslandssemester/,hs-niederrhein.de,https://www.google.com/s2/favicons?domain=hs-niederrhein.de&sz=256
,,,TEXTILE ENGINEERING,,,
,D LANDSHU01,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN LANDSHUT,COMPUTER ENGINEERING ,https://www.haw-landshut.de/en/international/outgoing/erasmus-information,haw-landshut.de,https://www.google.com/s2/favicons?domain=haw-landshut.de&sz=256
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOCIAL WORK,,,
,D LUNEBUR01,LEUPHANA UNIVERSITAT LUNEBURG,PRIMARY MATHEMATICS EDUCATION,https://www.leuphana.de/einrichtungen/international-center/erasmus.html,leuphana.de,https://www.google.com/s2/favicons?domain=leuphana.de&sz=256
,D MAINZ01,JOHANNES GUTENBERG-UNIVERSITAT MAINZ,ENGLISH LANGUAGE TEACHER EDUCATION,https://www.international.uni-mainz.de/erasmus/,international.uni-mainz.de,https://www.google.com/s2/favicons?domain=international.uni-mainz.de&sz=256
,,,ELEMENTARY EDUCATION ,,,
,D MAINZ08,HOCHSCHULE MAINZ UNIVERSITY OF APPLIED SCIENCES,CIVIL ENGINEERING,https://www.hs-mainz.de/en/international/profile/erasmus/,hs-mainz.de,https://www.google.com/s2/favicons?domain=hs-mainz.de&sz=256
,,,CIVIL ENGINEERING CONSTRUCTION AND PROJECT MANAGEMENT,,,
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,CIVIL TECHONOLOGY,,,
,D MANNHEI10,HOCHSCHULE DER WIRTSCHAFT FUR MANAGEMENT GGMBH,INTERNATIONAL TRADE AND FINANCE,https://www.hdwm.de/international/erasmus/,hdwm.de,https://www.google.com/s2/favicons?domain=hdwm.de&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,D MULHEIM01,HOCHSCHULE RUHR WEST,COMPUTER ENGINEERING,https://www.hochschule-ruhr-west.de/studium/internationales/wege-ins-ausland,hochschule-ruhr-west.de,https://www.google.com/s2/favicons?domain=hochschule-ruhr-west.de&sz=256
,,,COMPUTER TECHNOLOGIES,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,CIVIL ENGINEERING,,,
,,,CIVIL TECHONOLOGY,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,MECHANICAL ENGINEERING,,,
,,,CONSTRUCTION TECHONOGIES,,,
,D MUNCHEN11,SPRACHEN- UND DOLMETSCHER-INSTITUTMUNCHEN EV,BUSINESS MANAGEMENT,https://www.sdi-muenchen.de/service/international-office,sdi-muenchen.de,https://www.google.com/s2/favicons?domain=sdi-muenchen.de&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,APPLIED SPANISH-TURKISH TRANSLATION,,,
,,,APPLIED RUSSIAN-TURKISH TRANSLATION,,,
,D MARBURG01,PHILIPPS-UNIVERSITÄT MARBURG,,https://www.uni-marburg.de/de/international/ins-ausland,uni-marburg.de,https://www.google.com/s2/favicons?domain=uni-marburg.de&sz=256
,D MUNSTER01,WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER,LAW,https://www.uni-muenster.de/studium/outgoing/erasmus/index.html,uni-muenster.de,https://www.google.com/s2/favicons?domain=uni-muenster.de&sz=256
,D NURTING01,HOCHSCHULE FUER WIRTSCHAFT UND UMWELT NUERTINGEN-GEISLINGEN,BANKING AND INSURANCE,https://www.hfwu.de/hfwu-scout/anlaufstellen/international-office/erasmus/,hfwu.de,https://www.google.com/s2/favicons?domain=hfwu.de&sz=256
,,,BUSINESS MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,ACCOUNTING and TAX PRACTISES,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,D OFFENBA01,HOCHSCHULE FUR GESTALTUNG OFFENGACH AM MAİN,DRAMA and ACTING,https://www.hfg-offenbach.de/en/pages/international-office-1#about,hfg-offenbach.de,https://www.google.com/s2/favicons?domain=hfg-offenbach.de&sz=256
,D POTSDAM01,UNIVERSITAET POTSDAM,LAW ,https://www.uni-potsdam.de/en/international/outgoing/studium/erasmus,uni-potsdam.de,https://www.google.com/s2/favicons?domain=uni-potsdam.de&sz=256
,,,FOOD ENGINEERING,,,
,,,FOOD SAFETY,,,
,D SAARBRU03,HOCHSCHULE FUR TECHNIK UND WIRTSCHAFT DES SAARLANDES,ARCHITECTURE,https://www.htwsaar.de/sowi/international/die-erasmus-partnerhochschulen-der-fakultat-fur-sozialwissenschaften,htwsaar.de,https://www.google.com/s2/favicons?domain=htwsaar.de&sz=256
,,,COMPUTER TECHNOLOGIES,,,
,,,COMPUTER ENGINEERING ,,,
,,,COMPUTER  PROGRAMMING ,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,SOCIAL WORK,,,
,,,PRESCHOOL TEACHER TRAINING,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,D SIGMARI01,FACHHOCHSCHULE ALBSTADT-SIGMARINGEN,BUSINESS MANAGEMENT FOR BUSINESS MANAGERS,"https://www.hs-albsig.de/hochschule/organisation/international-office/#:~:text=Die%20Hochschule%20Albstadt%2DSigmaringen%20nimmt%20am%20ERASMUS%2B%20%2D%20Programm%20teil.&text=Erasmus%2B%20ist%20das%20EU%2DProgramm,Vorl%C3%A4uferprogramm%20(2014%E2%80%932020).",hs-albsig.de,https://www.google.com/s2/favicons?domain=hs-albsig.de&sz=256
,,,FOOD ENGINEERING,,,
,,,FOOD QUALITY CONTROL ANALYSIS,,,
,,,FOOD TECHNOLOGY,,,
,D STUTTGA05,HOCHSCHULE FUR TECHNIK STUTTGART,ARCHITECTURE,https://www.hft-stuttgart.de/international,hft-stuttgart.de,https://www.google.com/s2/favicons?domain=hft-stuttgart.de&sz=256
,,,CIVIL ENGINEERING,,,
,D TRIER02,HOCHSCHULE TRIER,GRAPHIC DESIGN,https://www.hochschule-trier.de/international/wege-ins-ausland/studierende/erasmus-studium-oder-praktikum,hochschule-trier.de,https://www.google.com/s2/favicons?domain=hochschule-trier.de&sz=256
,,,MECHANICAL,,,
,,,ARCHITECTURAL DESIGN,,,
,,,ARCHITECTURE ,,,
,,,FASHION DESIGN,,,
,,,TEXTILE and FASHION DESIGN,,,
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,D WORMS01,HOCHSCHULE WORMS,BUSINESS MANAGEMENT,https://www.hs-worms.de/international/incoming-students/exchange-students,hs-worms.de,https://www.google.com/s2/favicons?domain=hs-worms.de&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,TOURISM GUIDANCE,,,
,,,TOURISM AND HOTEL MANAGMENT,,,
,D WURZBUR01,JULIUS-MAXIMILIANS-UNIVERSITAT WURZBURG,ENGLISH LANGUAGE TEACHER EDUCATION,https://www.uni-wuerzburg.de/en/international/studying-in-wuerzburg/exchange-students/,uni-wuerzburg.de,https://www.google.com/s2/favicons?domain=uni-wuerzburg.de&sz=256
,,,ELEMENTARY EDUCATION ,,,
,,,PRESCHOOL TEACHER TRAINING,,,
,,,GIFTED EDUCATION,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,EDUCATION OF MENTALLY DISABLED,,,
,,,SPECIAL EDUCATION,,,
GREECE,G ATHINE02,NATIONAL TECHNICAL UNIVERSITY OF ATHENS - NTUA,CIVIL ENGINEERING,http://erasmus.ntua.gr/en/,erasmus.ntua.gr,https://www.google.com/s2/favicons?domain=erasmus.ntua.gr&sz=256
,,,CONSTRUCTION TECHNOLOGIES,,,
,,,MECHANICAL ENGINEERING,,,
,G KRITIS04,TECH.EDUÇ.İNSTİTUTE (TEİ) OF CRETE,BUSINESS MANAGEMENT,https://www.teicrete.gr/ie/en/%CF%83%CE%B5%CE%BB%CE%AF%CE%B4%CE%B5%CF%82-%CF%84%CE%BC%CE%AE%CE%BC%CE%B1%CF%84%CE%BF%CF%82/erasmus-program,teicrete.gr,https://www.google.com/s2/favicons?domain=teicrete.gr&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER TECHNOLOGIES,,,
,G KRITIS05,HELLENIC MEDITERRANEAN UNİVERSITY,NUTRITION AND DIETETICS ,https://iro.hmu.gr/incoming-students/,iro.hmu.gr,https://www.google.com/s2/favicons?domain=iro.hmu.gr&sz=256
,,,SOCIAL WORK,,,
,G PIREAS01,UNIVERSITY OF PIRAEUS RESEARCH CENTER,BUSINESS MANAGEMENT,https://www.unipi.gr/en/international-relations-office/erasmus-2-2/,unipi.gr,https://www.google.com/s2/favicons?domain=unipi.gr&sz=256
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,G THESSAL14,DIETHNES PANEPISTIMIO ELLADOS,INTERNATIONAL TRADE AND FINANCE,https://www.ba.ihu.gr/en/incoming-students/,ba.ihu.gr,https://www.google.com/s2/favicons?domain=ba.ihu.gr&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,G VOLOS01,PANEPISTIMIO THESSALIAS,NUTRITION AND DIETETICS ,https://erasmus.uth.gr/en/,erasmus.uth.gr,https://www.google.com/s2/favicons?domain=erasmus.uth.gr&sz=256
,,,PRESCHOOL TEACHER TRAINING,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
HUNGARY,HU BUDAPES01,EÖTVÖS LORAND UNİVERSİTY,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.elte.hu/en/incoming-mobility/erasmus,elte.hu,https://www.google.com/s2/favicons?domain=elte.hu&sz=256
,,,HISTORY ,,,
,HU BUDAPES20,BUDAPESTI GAZDASAGI EGYETEM,INTERNATIONAL TRADE AND FINANCE,https://uni-bge.hu/en/admission/erasmus,uni-bge.hu,https://www.google.com/s2/favicons?domain=uni-bge.hu&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT ,,,
,HU BUDAPES45,BUDAPESTI METROPOLITAN EGYETEM,INTERNATIONAL TRADE AND FINANCE,https://www.metropolitan.hu/hu/erasmus,metropolitan.hu,https://www.google.com/s2/favicons?domain=metropolitan.hu&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,HU DUNAUJ01,UNIVERSITY OF DUNAUJVAROS,BUSINESS MANAGEMENT,https://www.uniduna.hu/en/component/tags/tag/erasmus,uniduna.hu,https://www.google.com/s2/favicons?domain=uniduna.hu&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,COMPUTER ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,COMPUTER and INSTRUCTIONAL TECHNOLOGIES EDUCATION,,,
,,,Physical Education and Sports Teaching,,,
,HU EGER02,ESZTERHAZY KAROLY KATOLIKUS EGYETEM,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://uni-eszterhazy.hu/nemzetkozikapcsolatok/m/hallgatoknak/erasmus-,uni-eszterhazy.hu,https://www.google.com/s2/favicons?domain=uni-eszterhazy.hu&sz=256
,,,GRAPHIC DESIGN,,,
,,,JOURNALISM,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,PUBLIC RELATIONS and PUBLICITY,,,
,,,ADVERTISEMENT,,,
,,,TV NEWS AND TV PROGRAM MAKING,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,NEW MEDIA and COMMUNICATION,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION and INTERPRETING (English),,,
,,,APPLIED ENGLISH-TURKISH TRANSLATION,,,
,,,ENGLISH LANGUAGE TEACHER EDUCATION,,,
,,,COMPUTER PROGRAMMING,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,FOREIGN TRADE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,TOURISM GUIDANCE,,,
,,,TOURISM AND HOTEL MANAGMENT,,,
,HU GODOLLO01,MATE HUNGARIAN UNİVERSITY OF AGRICULTURE AND LIFE SCIENCES - MATE,FOREIGN TRADE,https://en.uni-mate.hu/erasmusplus,en.uni-mate.hu,https://www.google.com/s2/favicons?domain=en.uni-mate.hu&sz=256
,,,ECONOMY AND FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,MECHANICAL,,,
,,,MECHANICAL ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,BUSINESS MANAGEMENT,,,
,,,BUSINESS MANAGEMENT FOR BUSINESS MANAGERS,,,
,,,FOOD SAFETY,,,
,,,FOOD QUALITY CONTROL ANALYSIS,,,
,,,FOOD ENGINEERING,,,
,,,FOOD TECHNOLOGY,,,
,,,MEDICAL BIOLOGY,,,
,HU KALOCSA01,TOMORİ PAL COLLEGE,INTERNATIONAL TRADE AND FINANCE,https://en.tpfk.hu/erasmus/,en.tpfk.hu,https://www.google.com/s2/favicons?domain=en.tpfk.hu&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,HU KECSKEM03,NEUMANN JANOS EGYETEM,COMPUTER ENGINEERING,https://nje.hu/egyetemunk/nemzetkozi-kapcsolatok/erasmus,nje.hu,https://www.google.com/s2/favicons?domain=nje.hu&sz=256
,,,MECHANICAL ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,SOFTWARE ENGINEERING ,,,
,,,SOFTWARE DEVELOPMENT,,,
,HU PECS01,UNIVERSITY OF PECS,ENGLISH LANGUAGE TEACHER EDUCATION,https://international.pte.hu/mobility-programs/erasmus,international.pte.hu,https://www.google.com/s2/favicons?domain=international.pte.hu&sz=256
,,,PRESCHOOL TEACHER TRAINING,,,
,,,SOCIOLOGY ,,,
,,,HEALTH CARE MANAGEMENT,,,
,,,DENTISTRY,,,
,,,PHYSIOTHERAPY AND REHABILITATION,,,
,,,NUTRITION AND DIETETICS ,,,
,HU SZEGED01,SZEGEDI TUDOMANYEGYETEM,COMPUTER ENGINEERING,http://www2.u-szeged.hu/erasmus/,www2.u-szeged.hu,https://www.google.com/s2/favicons?domain=www2.u-szeged.hu&sz=256
,,,COMPUTER TECHNOLOGIES,,,
,,,SOFTWARE ENGINEERING,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,FOOD QUALITY CONTROL ANALYSIS,,,
,,,FOOD ENGINEERING,,,
,,,FOOD TECHNOLOGY,,,
,,,FOOD SAFETY,,,
,,,MECHANICAL ENGINEERING,,,
,,,BANKING AND INSURANCE,,,
,,,BUSINESS MANAGEMENT,,,
,,,AUTOMOTIVE TECHNOLOGY,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,BUSINESS MANAGEMENT FOR BUSINESS MANAGERS,,,
,,,ENGLISH LANGUAGE and LITERATURE,,,
,,,TRANSLATION and INTERPRETING (ENGLISH) ,,,
,,,TRANSLATION and INTERPRETING (SPANISH) ,,,
,,,APPLIED SPANISH-TURKISH TRANSLATION,,,
ITALY,I ANCONA02,SRL POLIARTE POLITECNICO DELLE ARTI,TEXTILE and FASHION DESIGN,https://www.poliarte.net/pagina.php?idPagina=44,poliarte.net,https://www.google.com/s2/favicons?domain=poliarte.net&sz=256
,,,CARTOON AND ANIMATION,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,INTERIOR DESIGN,,,
,,,VISUAL ARTS,,,
,,,GRAPHIC DESIGN,,,
,,,DIGITAL GAME DESIGN,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,I BENEVEN04,UNIVERSITA DELGI STUDI GİUSTINO FORTUNATO,LAW,https://www.unifortunato.eu/servizi-studenti/erasmus-plus/,unifortunato.eu,https://www.google.com/s2/favicons?domain=unifortunato.eu&sz=256
,,,AVIATION MANAGEMENT,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,,,CLINICAL PSYCHOLOGY,,,
,,,PSYCHOLOGY ,,,
,,,PSYCHOLOGICAL COUNSELING and GUIDANCE,,,
,,,INTERNATIONAL ECONOMICS,,,
,I CASAMAS01,LUM GIUSEPPE DEGENNARO,BUSINESS MANAGEMENT,https://www.lum.it/en/international-mobility/incoming-students/,lum.it,https://www.google.com/s2/favicons?domain=lum.it&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,LAW,,,
,I CHIETI01,UNIVERSITA DEGLI STUDI GABRIELE D'ANNUNZIO DI CHIETI-PESCARA,LAW,https://www.unich.it/international/erasmus-incoming-students,unich.it,https://www.google.com/s2/favicons?domain=unich.it&sz=256
,,,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,,,
,,,FOREIGN TRADE,,,
,,,ECONOMY AND FINANCE,,,
,,,INTERNATIONAL ECONOMICS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,I COSENZA01,UNIVERSITA DELLA CALABRIA,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.unical.it/internazionale/studiare-all-estero/erasmus/,unical.it,https://www.google.com/s2/favicons?domain=unical.it&sz=256
,,,ELECTRICAL and ELECTRONICS ENGINEERING,,,
,,,ELECTRONIC TECHNOLOGY ,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER TECHNOLOGIES,,,
,,,COMPUTER and INSTRUCTIONAL TECHNOLOGIES EDUCATION ,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,I FOGGIA03,UNIVERSITA DEGLI STUDI DI FOGGIA,DENTISTRY,https://www.unifg.it/it/internazionale/cooperazione-internazionale/erasmus-eche,unifg.it,https://www.google.com/s2/favicons?domain=unifg.it&sz=256
,,,NUTRITION AND DIETETICS ,,,
,,,MEDICINE,,,
,I L-AQUIL01,UNIVERSITA DEGLI STUDI DELL'AQUILA,POLITICAL SCIENCE and INTERNATIONAL RELATIONS,https://www.univaq.it/section.php?id=545,univaq.it,https://www.google.com/s2/favicons?domain=univaq.it&sz=256
,I LECCE02,ACCADEMIA DI BELLE ARTI DI LECCE,NEW MEDIA and COMMUNICATION,https://www.accademialecce.edu.it/erasmus/,accademialecce.edu.it,https://www.google.com/s2/favicons?domain=accademialecce.edu.it&sz=256
,,,VISUAL COMMUNICATION DESIGN,,,
,,,GRAPHIC DESIGN,,,
,,,FASHION DESIGN,,,
,,,TEXTILE AND FASHION DESIGN ,,,
,,,ADVERTISEMENT,,,
,,,ART AND CULTURE MANAGEMENT,,,
,,,RADIO TELEVISION and CINEMA,,,
,,,TELEVISION AND FILM,,,
,I NAPOLI09,UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,DENTISTRY ,https://www.unicampania.it/index.php/international/studiare-all-estero/bando-erasmus-2025-2026,unicampania.it,https://www.google.com/s2/favicons?domain=unicampania.it&sz=256
,I PARMA01,UNIVERSITA DEGLI STUDI DI PARMA,ARCHITECTURE ,https://www.unipr.it/programma-erasmus-0,unipr.it,https://www.google.com/s2/favicons?domain=unipr.it&sz=256
